OBJECTID,Event_Date,Event_Time_approximate,Landslide_Category,Landslide_Trigger,Latitude,Longitude,Country_Name,Country_Code,Administrative_Division,ev_id,Source
357,2019-05-16 4:54:00,09:00,landslide,rain,-22.99848565,-43.24682948,Brazil,BR,Rio de Janeiro,13783,NASA Reports
359,2017-02-07 0:00:00,unknown,landslide,rain,38.30334872,-120.6722988,United States,US,California,10382,NASA Reports
361,2013-09-23 0:00:00,,landslide,downpour,50.6296,-1.1959,United Kingdom,GB,England,6445,NASA Reports
370,2013-11-10 0:00:00,,landslide,downpour,3.1562,101.7035,Malaysia,MY,Wilayah Persekutuan Kuala Lumpur,5631,NASA Reports
371,2017-01-22 0:00:00,unknown,landslide,downpour,37.86317238,-122.4968041,United States,US,California,10205,NASA Reports
386,2017-05-08 18:00:00,18:00,landslide,rain,9.96140576,-84.16638637,Costa Rica,CR,San José,10814,NASA Reports
396,2014-06-23 0:00:00,,landslide,continuous_rain,12.3506,-84.8089,Nicaragua,NI,Atlántico Sur,6092,NASA Reports
399,2012-07-19 0:00:00,,landslide,monsoon,26.8546,88.3373,India,IN,West Bengal,6783,NASA Reports
400,2014-06-23 0:00:00,,landslide,continuous_rain,12.3502,-84.8098,Nicaragua,NI,Atlántico Sur,6093,NASA Reports
402,2017-01-09 0:00:00,unknown,landslide,rain,43.20365429,-124.3049956,United States,US,Oregon,10549,NASA Reports
407,2010-12-12 0:00:00,,landslide,downpour,47.7139,-122.2777,United States,US,Washington,2833,NASA Reports
431,2017-01-22 0:00:00,unknown,landslide,rain,44.15797479,-123.5759976,United States,US,Oregon,10548,NASA Reports
436,2017-02-09 0:00:00,unknown,landslide,rain,45.58963702,-122.8232586,United States,US,Oregon,10573,NASA Reports
440,2014-01-26 18:00:00,18:00,landslide,downpour,50.2722,-4.7891,United Kingdom,GB,England,5826,NASA Reports
444,2017-03-17 0:00:00,unknown,landslide,rain,43.31347825,-110.7420242,United States,US,Wyoming,10336,NASA Reports
448,2018-08-18 0:00:00,unknown,landslide,rain,12.82259873,75.62136484,India,IN,Karnataka,14581,NASA Reports
456,2017-07-09 0:00:00,,landslide,continuous_rain,27.092916,93.61882043,India,IN,Arunachal Pradesh,11165,NASA Reports
457,2018-06-05 4:00:00,04:00,landslide,downpour,35.46364432,-82.28151271,United States,US,North Carolina,11525,NASA Reports
468,2007-05-27 0:00:00,,landslide,downpour,50.6297,-1.1957,United Kingdom,GB,England,6444,NASA Reports
469,2014-06-23 0:00:00,,landslide,continuous_rain,12.3491,-84.8196,Nicaragua,NI,Atlántico Sur,6102,NASA Reports
471,2017-10-30 0:00:00,,landslide,rain,58.304831,-134.417366,United States,US,Alaska,13248,NASA Reports
482,2017-06-26 0:00:00,,landslide,continuous_rain,53.11450322,-1.63823836,United Kingdom,GB,England,10010,NASA Reports
486,2016-06-20 0:00:00,,landslide,continuous_rain,24.3504,121.7755,China,CN,Taiwan,8938,NASA Reports
503,2021-01-09 12:57:42,15:00,landslide,rain,-6.95554711,107.818213,Indonesia,ID,Jawa Barat,19380,NASA Reports
510,2013-04-18 0:00:00,,landslide,rain,40.6545,-89.5567,United States,US,Illinois,6395,NASA Reports
524,2017-01-09 0:00:00,unknown,landslide,rain,37.03155782,-122.0650416,United States,US,California,10155,NASA Reports
527,2017-03-15 0:00:00,unknown,landslide,rain,45.54421,-122.763103,United States,US,Oregon,10575,NASA Reports
529,2010-04-06 0:00:00,,landslide,downpour,-22.7694,-43.108,Brazil,BR,Rio de Janeiro,1661,NASA Reports
531,2017-06-04 22:00:00,22:00,landslide,continuous_rain,27.33861278,87.67107225,Nepal,NP,Mechi,9749,NASA Reports
534,2017-02-09 0:00:00,unknown,landslide,rain,47.51576386,-122.25385,United States,US,Washington,10618,NASA Reports
544,2011-03-24 15:00:00,15:00,landslide,downpour,37.9591,-122.3238,United States,US,California,3286,NASA Reports
545,2016-12-25 0:00:00,,landslide,downpour,4.48538609,101.3742935,Malaysia,MY,Pahang,11033,NASA Reports
551,2017-01-09 0:00:00,unknown,landslide,continuous_rain,35.56650209,-121.0797424,United States,US,California,10129,NASA Reports
557,2014-08-05 6:00:00,06:00,landslide,downpour,40.8269,-111.9024,United States,US,Utah,6257,NASA Reports
563,2014-06-23 0:00:00,,landslide,continuous_rain,12.3476,-84.79,Nicaragua,NI,Atlántico Sur,6100,NASA Reports
568,2017-06-29 0:00:00,00:00,landslide,downpour,50.70838436,-2.75802154,United Kingdom,GB,England,9906,NASA Reports
572,2017-02-08 0:00:00,unknown,landslide,rain,45.59489027,-122.8718206,United States,US,Oregon,10574,NASA Reports
574,2017-04-01 22:00:00,22:00,landslide,rain,37.277007,-83.108536,United States,US,Kentucky,10671,NASA Reports
575,2019-02-07 21:00:00,21:00,landslide,rain,-23.06266662,-43.56330275,Brazil,BR,Rio de Janeiro,13278,NASA Reports
580,2017-02-28 20:00:00,20:00,landslide,downpour,20.81767658,-156.1255391,United States,US,Hawaii,10699,NASA Reports
586,2014-06-23 0:00:00,,landslide,continuous_rain,12.3535,-84.8095,Nicaragua,NI,Atlántico Sur,6089,NASA Reports
589,2016-09-04 8:00:00,08:00,landslide,downpour,27.833565,85.201673,Nepal,NP,Bagmati,9963,NASA Reports
597,2017-04-18 0:00:00,,landslide,rain,-35.62543214,174.5370837,New Zealand,NZ,Northland,11068,NASA Reports
599,2015-11-11 0:00:00,,landslide,downpour,3.3694,101.854,Malaysia,MY,Pahang,8929,NASA Reports
600,2016-09-18 0:00:00,,landslide,rain,-38.70743,174.616841,New Zealand,NZ,Taranaki,11088,NASA Reports
610,2017-04-15 0:00:00,,landslide,continuous_rain,45.46335183,-75.50676961,Canada,CA,Ontario,10696,NASA Reports
612,2018-02-18 0:00:00,,landslide,downpour,40.46041,-79.995188,United States,US,Pennsylvania,11320,NASA Reports
615,2017-04-28 6:00:00,06:00,landslide,rain,45.61894112,-123.4177916,United States,US,Oregon,10533,NASA Reports
622,2014-06-23 0:00:00,,landslide,continuous_rain,12.352,-84.7932,Nicaragua,NI,Atlántico Sur,6101,NASA Reports
624,2021-09-11 3:00:13,07:00,landslide,continuous_rain,19.53662352,-99.1255288,Mexico,MX,México,21036,NASA Reports
631,2018-04-28 0:00:00,,landslide,rain,57.6728278,-2.33580741,United Kingdom,GB,Scotland,11487,NASA Reports
633,2023-03-21 17:49:51,,landslide,downpour,32.53303056,-117.0863913,Mexico,MX,Baja California,21195,NASA Reports
648,2015-12-09 9:00:00,09:00,landslide,continuous_rain,45.428,-123.8466,United States,US,Oregon,7761,NASA Reports
671,2014-09-16 3:30:00,03:00,landslide,downpour,28.3921,82.4696,Nepal,NP,Rapti,6320,NASA Reports
682,2010-12-12 0:00:00,,landslide,downpour,47.5513,-122.2288,United States,US,Washington,2841,NASA Reports
691,2022-01-13 17:43:29,09:00,landslide,continuous_rain,-20.38984776,-43.50645492,Brazil,BR,Minas Gerais,21248,NASA Reports
708,2018-05-03 0:00:00,,landslide,rain,40.51092435,-79.79311922,United States,US,Pennsylvania,11418,NASA Reports
709,2009-08-16 21:30:00,21:00,landslide,downpour,27.15977181,88.63411246,India,IN,West Bengal,1094,NASA Reports
714,2014-06-27 0:00:00,,landslide,rain,26.1619,91.7697,India,IN,Assam,6110,NASA Reports
729,2017-01-10 0:00:00,,landslide,rain,-23.91300145,-65.46576609,Argentina,AR,Jujuy,9723,NASA Reports
731,2015-12-04 0:00:00,,landslide,downpour,35.5867,-82.5517,United States,US,North Carolina,8991,NASA Reports
734,2017-09-02 6:00:00,06:00,landslide,downpour,-43.634486,172.718391,New Zealand,NZ,Canterbury,13228,NASA Reports
745,2015-01-28 23:00:00,23:00,landslide,continuous_rain,9.7962,-83.9498,Costa Rica,CR,Cartago,6735,NASA Reports
749,2010-03-15 19:00:00,19:00,landslide,downpour,42.1433,-71.2165,United States,US,Massachusetts,1576,NASA Reports
754,2014-06-23 0:00:00,,landslide,continuous_rain,12.3484,-84.7928,Nicaragua,NI,Atlántico Sur,6099,NASA Reports
759,2016-09-07 0:00:00,,landslide,rain,14.521881,-90.604924,Guatemala,GT,Guatemala,9975,NASA Reports
762,2016-11-09 0:00:00,,landslide,rain,50.58749167,-127.0722192,Canada,CA,British Columbia,11395,NASA Reports
775,2014-07-02 9:00:00,09:00,landslide,rain,31.7293,-106.5152,Mexico,MX,Chihuahua,6122,NASA Reports
787,2015-12-07 0:00:00,,landslide,downpour,45.6062,-122.4161,United States,US,Washington,8997,NASA Reports
791,2016-12-17 0:00:00,unknown,landslide,rain,1.481724,124.859026,Indonesia,ID,Sulawesi Utara,10098,NASA Reports
828,2017-04-20 9:00:00,09:00,landslide,rain,40.41337991,-79.9238858,United States,US,Pennsylvania,10267,NASA Reports
835,2011-03-27 9:00:00,09:00,landslide,downpour,37.5456,-122.3497,United States,US,California,3307,NASA Reports
847,2014-06-23 0:00:00,,landslide,continuous_rain,12.349,-84.8195,Nicaragua,NI,Atlántico Sur,6096,NASA Reports
850,2017-04-27 15:00:00,15:00,landslide,rain,50.95048157,-119.1263032,Canada,CA,British Columbia,10470,NASA Reports
851,2015-01-18 8:00:00,08:00,landslide,downpour,45.6,-122.4333,United States,US,Washington,6728,NASA Reports
858,2017-09-25 22:15:00,22:00,landslide,rain,10.370659,123.874349,Philippines,PH,Cebu,13230,NASA Reports
862,2017-02-16 0:00:00,unknown,landslide,rain,45.298184,-122.8087328,United States,US,Oregon,10587,NASA Reports
863,2017-12-28 0:00:00,,landslide,continuous_rain,5.332365,100.282196,Malaysia,MY,Pulau Pinang,13233,NASA Reports
870,2018-09-29 11:00:00,11:00,landslide,rain,32.64150179,72.75843868,Pakistan,PK,Punjab,12933,NASA Reports
876,2016-06-28 0:00:00,,landslide,downpour,15.3455,73.8976,India,IN,Goa,7932,NASA Reports
890,2017-09-02 14:00:00,14:00,landslide,rain,31.10312666,77.20355516,India,IN,Himachal Pradesh,10861,NASA Reports
893,2017-05-16 0:00:00,,landslide,rain,44.3517732,-103.7798822,United States,US,South Dakota,9823,NASA Reports
903,2010-12-12 0:00:00,,landslide,downpour,47.7078,-122.2756,United States,US,Washington,2834,NASA Reports
908,2016-11-18 0:00:00,,landslide,rain,7.159883,80.562102,Sri Lanka,LK,Madhyama,10719,NASA Reports
909,2010-04-06 0:00:00,,landslide,downpour,-22.9553,-43.2014,Brazil,BR,Rio de Janeiro,1645,NASA Reports
924,2015-03-12 11:50:00,12:00,landslide,rain,38.3686,-81.6026,United States,US,West Virginia,6859,NASA Reports
929,2017-04-30 0:00:00,,landslide,continuous_rain,20.98042183,-156.5437852,United States,US,Hawaii,10060,NASA Reports
937,2010-04-20 0:00:00,,landslide,downpour,26.1978,91.7665,India,IN,Assam,1771,NASA Reports
942,2018-05-19 0:00:00,,landslide,rain,-1.4022831,30.00472245,Uganda,UG,Kabale,11366,NASA Reports
946,2010-04-06 0:00:00,,landslide,downpour,-22.9035,-43.0448,Brazil,BR,Rio de Janeiro,1686,NASA Reports
948,2015-11-08 0:00:00,,landslide,rain,41.3842,-124.0682,United States,US,California,8925,NASA Reports
954,2014-06-23 0:00:00,,landslide,continuous_rain,12.3484,-84.8195,Nicaragua,NI,Atlántico Sur,6097,NASA Reports
958,2017-01-05 7:00:00,07:00,landslide,rain,44.62725474,-123.9675087,United States,US,Oregon,10532,NASA Reports
963,2015-01-31 15:00:00,15:00,landslide,downpour,52.2396,-1.448,United Kingdom,GB,England,6736,NASA Reports
973,2019-10-15 13:13:09,,landslide,rain,35.76826103,35.89946671,Syria,SY,Al Ladhiqiyah,13777,NASA Reports
986,2017-05-04 15:00:00,15:00,landslide,downpour,39.72539392,-86.72234803,United States,US,Indiana,10434,NASA Reports
989,2010-06-06 15:00:00,15:00,landslide,downpour,-41.3318,174.8229,New Zealand,NZ,Wellington,1949,NASA Reports
991,2015-11-03 19:00:00,19:00,landslide,downpour,33.8453,-116.8176,United States,US,California,8896,NASA Reports
994,2021-01-29 11:35:39,02:00,landslide,rain,-29.14586122,-51.18120008,Brazil,BR,Rio Grande do Sul,21044,NASA Reports
998,2006-11-16 22:04:23,21:00,landslide,rain,8.68982065,-80.4537577,Panama,PA,Coclé,21039,NASA Reports
1001,2015-03-15 20:00:00,20:00,landslide,downpour,47.5935,-122.2425,United States,US,Washington,6885,NASA Reports
1023,2017-01-10 0:00:00,unknown,landslide,continuous_rain,37.73969582,-122.4432161,United States,US,California,10189,NASA Reports
1034,2018-05-24 0:00:00,,landslide,downpour,0.97949955,35.56237654,Kenya,KE,Elgeyo/Marakwet,11464,NASA Reports
1046,2015-07-19 15:00:00,15:00,landslide,continuous_rain,18.7632,73.347,India,IN,Maharashtra,7221,NASA Reports
1061,2017-01-10 0:00:00,unknown,landslide,continuous_rain,43.57998825,-116.1451674,United States,US,Idaho,10540,NASA Reports
1068,2017-07-01 5:00:00,05:00,landslide,downpour,27.10647226,93.65975252,India,IN,Arunachal Pradesh,9932,NASA Reports
1070,2017-04-12 0:00:00,,landslide,continuous_rain,-37.63075881,176.0458175,New Zealand,NZ,Bay of Plenty,11084,NASA Reports
1072,2016-12-23 0:00:00,,landslide,rain,39.291956,-121.09722,United States,US,California,10240,NASA Reports
1076,2017-01-10 14:00:00,14:00,landslide,rain,42.42373266,-123.3280821,United States,US,Oregon,11220,NASA Reports
1080,2014-04-08 16:00:00,16:00,landslide,rain,45.49,-75.7628,Canada,CA,Quebec,5986,NASA Reports
1085,2015-07-04 0:00:00,,landslide,rain,38.8117,-104.8538,United States,US,Colorado,7340,NASA Reports
1095,2017-03-19 16:00:00,16:00,landslide,downpour,3.19177586,101.7721705,Malaysia,MY,Selangor,11039,NASA Reports
1098,2017-04-07 16:00:00,16:00,landslide,rain,50.77712046,-119.235673,Canada,CA,British Columbia,10475,NASA Reports
1116,2016-08-16 0:00:00,,landslide,rain,27.593,88.492,India,IN,Sikkim,9853,NASA Reports
1120,2010-04-06 0:00:00,,landslide,downpour,-22.9399,-43.1943,Brazil,BR,Rio de Janeiro,1662,NASA Reports
1127,2016-07-11 15:00:00,15:00,landslide,downpour,-41.4003,147.0876,Australia,AU,Tasmania,8933,NASA Reports
1130,2018-07-14 14:20:26,09:00,landslide,rain,35.46856992,-82.3255507,United States,US,North Carolina,13837,NASA Reports
1148,2017-01-24 0:00:00,unknown,landslide,downpour,19.73070321,-155.0889266,United States,US,Hawaii,10698,NASA Reports
1154,2017-05-20 22:00:00,22:00,landslide,rain,35.86431353,-121.4304994,United States,US,California,9734,NASA Reports
1171,2016-05-29 0:00:00,,landslide,rain,49.40694002,8.71497533,Germany,DE,Baden-Württemberg,11296,NASA Reports
1173,2010-02-27 0:00:00,,landslide,downpour,35.9816,-119.9601,United States,US,California,1533,NASA Reports
1175,2018-06-10 22:00:00,22:00,landslide,rain,40.24256882,-79.95359303,United States,US,Pennsylvania,11546,NASA Reports
1185,2017-04-05 20:00:00,20:00,landslide,rain,-41.31460954,174.7789668,New Zealand,NZ,Wellington,10043,NASA Reports
1186,2016-10-02 23:00:00,23:00,landslide,downpour,-41.0443,145.8772,Australia,AU,Tasmania,9509,NASA Reports
1194,2016-08-21 0:00:00,,landslide,rain,31.45206,78.401303,India,IN,Himachal Pradesh,9892,NASA Reports
1211,2017-03-07 0:00:00,unknown,landslide,downpour,-36.796594,175.052231,New Zealand,NZ,Auckland,11072,NASA Reports
1225,2018-12-28 20:00:00,20:00,landslide,rain,40.767431,-123.0846843,United States,US,California,13298,NASA Reports
1227,2013-05-22 0:00:00,unknown,landslide,downpour,22.32492747,114.2297481,China,CN,Hong Kong,12939,NASA Reports
1229,2017-05-09 15:00:00,15:00,landslide,rain,49.6302922,-117.5373036,Canada,CA,British Columbia,10496,NASA Reports
1242,2018-10-11 14:00:00,14:00,landslide,rain,12.533383,124.333258,Philippines,PH,Northern Samar,12973,NASA Reports
1247,2017-02-09 0:00:00,unknown,landslide,rain,47.38482082,-122.0110634,United States,US,Washington,10623,NASA Reports
1250,2010-04-06 0:00:00,,landslide,downpour,-22.9131,-43.3857,Brazil,BR,Rio de Janeiro,1667,NASA Reports
1254,2015-12-18 0:00:00,,landslide,rain,44.0434,-124.0743,United States,US,Oregon,9088,NASA Reports
1255,2017-03-23 0:00:00,unknown,landslide,rain,41.05829529,-124.1431653,United States,US,California,10354,NASA Reports
1271,2014-06-23 0:00:00,,landslide,continuous_rain,12.3511,-84.8064,Nicaragua,NI,Atlántico Sur,6091,NASA Reports
1274,2018-03-21 0:00:00,unknown,landslide,rain,54.27318033,-0.39532586,,,,11358,NASA Reports
1280,2017-04-05 20:00:00,20:00,landslide,rain,-36.84933303,174.8388783,New Zealand,NZ,Auckland,11078,NASA Reports
1308,2010-04-06 0:00:00,,landslide,downpour,-22.9417,-43.2491,Brazil,BR,Rio de Janeiro,1687,NASA Reports
1311,2017-02-05 10:00:00,10:00,landslide,rain,43.98279054,-124.0540224,United States,US,Oregon,10547,NASA Reports
1312,2018-03-22 5:00:00,05:00,landslide,downpour,-22.99612898,-43.23574999,Brazil,BR,Rio de Janeiro,11245,NASA Reports
1314,2010-04-06 0:00:00,,landslide,downpour,-22.82,-43.1789,Brazil,BR,Rio de Janeiro,1651,NASA Reports
1334,2017-01-18 4:00:00,04:00,landslide,downpour,46.45955095,-122.7508186,United States,US,Washington,10555,NASA Reports
1335,2017-01-15 0:00:00,unknown,landslide,downpour,8.47363736,124.6312445,Philippines,PH,Misamis Oriental,10111,NASA Reports
1359,2016-07-29 5:45:00,06:00,landslide,rain,-39.0675,174.3119,New Zealand,NZ,Taranaki,9230,NASA Reports
1366,2017-04-10 0:00:00,,landslide,rain,55.89336154,-4.27332301,United Kingdom,GB,Scotland,11216,NASA Reports
1369,2017-03-28 0:00:00,unknown,landslide,rain,45.5234247,-122.7095383,United States,US,Oregon,10579,NASA Reports
1370,2017-02-09 0:00:00,unknown,landslide,rain,47.49931548,-122.3038035,United States,US,Washington,10608,NASA Reports
1390,2017-04-06 0:00:00,,landslide,continuous_rain,31.09793945,77.15163968,India,IN,Himachal Pradesh,10858,NASA Reports
1396,2017-01-06 0:00:00,unknown,landslide,rain,33.33819588,75.19229171,India,IN,Jammu and Kashmir,10835,NASA Reports
1418,2010-12-13 9:00:00,09:00,landslide,downpour,47.7278,-122.2818,United States,US,Washington,2850,NASA Reports
1420,2017-04-13 0:00:00,,landslide,rain,45.34401354,-122.6193348,United States,US,Oregon,10583,NASA Reports
1434,2016-12-25 0:00:00,,landslide,continuous_rain,4.47158635,101.369887,Malaysia,MY,Pahang,11030,NASA Reports
1436,2017-04-27 10:00:00,10:00,landslide,rain,44.12206433,-122.4124263,United States,US,Oregon,10537,NASA Reports
1444,2017-04-02 9:00:00,09:00,landslide,downpour,47.88398686,-118.1639859,United States,US,Washington,10521,NASA Reports
1479,2016-06-24 23:00:00,23:00,landslide,downpour,12.8157,74.8586,India,IN,Karnataka,8086,NASA Reports
1485,2015-07-13 0:00:00,,landslide,continuous_rain,38.499,-80.7205,United States,US,West Virginia,7193,NASA Reports
1500,2013-06-19 22:00:00,22:00,landslide,downpour,-45.8243,170.5957,New Zealand,NZ,Otago,4962,NASA Reports
1509,2017-02-18 10:00:00,10:00,landslide,rain,49.088067,-122.006847,Canada,CA,British Columbia,10646,NASA Reports
1513,2016-12-01 0:00:00,,landslide,rain,3.423928,-76.553491,Colombia,CO,Valle del Cauca,10791,NASA Reports
1516,2017-02-27 0:00:00,unknown,landslide,rain,33.25383574,-117.1540032,United States,US,California,10451,NASA Reports
1519,2017-07-11 16:00:00,16:00,landslide,continuous_rain,27.20938411,93.61539279,India,IN,Arunachal Pradesh,11168,NASA Reports
1524,2010-04-06 0:00:00,,landslide,downpour,-22.983,-43.1976,Brazil,BR,Rio de Janeiro,1673,NASA Reports
1531,2008-07-09 0:00:00,,landslide,downpour,37.66,-82.26,United States,US,West Virginia,633,NASA Reports
1534,2010-04-06 0:00:00,,landslide,downpour,-22.8901,-43.097,Brazil,BR,Rio de Janeiro,1677,NASA Reports
1542,2015-05-13 0:00:00,,landslide,continuous_rain,38.9218,-104.8365,United States,US,Colorado,7060,NASA Reports
1550,2017-03-18 0:00:00,unknown,landslide,rain,45.973789,-117.264604,United States,US,Oregon,10589,NASA Reports
1556,2017-01-11 0:00:00,unknown,landslide,rain,34.10541985,-118.368392,United States,US,California,10420,NASA Reports
1560,2006-02-28 9:00:00,09:00,landslide,downpour,47.5309,-122.2374,United States,US,Washington,7802,NASA Reports
1563,2011-03-15 0:00:00,,landslide,downpour,33.7975,-85.762,United States,US,Alabama,3227,NASA Reports
1577,2018-04-28 0:00:00,,landslide,rain,45.69210045,-73.61728272,,,,13244,NASA Reports
1592,2015-12-13 0:00:00,,landslide,rain,47.8146,-122.4974,United States,US,Washington,9069,NASA Reports
1635,2017-03-27 0:00:00,unknown,landslide,rain,49.756601,-119.801875,Canada,CA,British Columbia,10484,NASA Reports
1644,2017-05-10 0:00:00,,landslide,rain,50.73336291,-1.64632105,United Kingdom,GB,England,11200,NASA Reports
1659,2015-11-13 0:00:00,,landslide,rain,47.5328,-122.073,United States,US,Washington,8945,NASA Reports
